subj,time,rep,q_sh,q_el,qd_sh,qd_el,qdd_sh,qdd_el,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand,humerus_mass,forearm_mass,humerus_len,forearm_len
s04,0.77000,1,18.28032,6.77183,-0.24510,0.45095,-0.07000,12.63000,4.05811,0.13609,0.06291,0.19528,0.05644,75.19525,26.54286,190.61708,12.65557,0.19896,0.15225,0.00000,0.11122,1.89630,1.56666,0.29236,0.29996
s04,0.78000,1,18.27786,6.77697,-0.24365,0.58180,0.34750,13.47750,4.06565,0.13635,0.06304,0.19562,0.05655,75.33044,26.59833,190.91313,12.67944,0.20158,0.15425,0.00000,0.11268,1.89630,1.56666,0.29236,0.29996
s04,0.79000,1,18.27545,6.78347,-0.23815,0.72050,0.73500,14.18750,4.07252,0.13660,0.06317,0.19592,0.05666,75.45508,26.65152,191.17378,12.70191,0.20421,0.15626,0.00000,0.11415,1.89630,1.56666,0.29236,0.29996
s04,0.80000,1,18.27310,6.79138,-0.22895,0.86555,1.07750,14.74000,4.07853,0.13682,0.06330,0.19618,0.05676,75.56615,26.70128,191.39068,12.72248,0.20684,0.15827,0.00000,0.11562,1.89630,1.56666,0.29236,0.29996
s04,0.81000,1,18.27087,6.80078,-0.21660,1.01530,1.36750,15.11250,4.08354,0.13701,0.06341,0.19638,0.05685,75.66093,26.74657,191.55645,12.74066,0.20948,0.16028,0.00000,0.11709,1.89630,1.56666,0.29236,0.29996
s04,0.82000,1,18.26877,6.81169,-0.20160,1.16780,1.60250,15.28500,4.08739,0.13716,0.06351,0.19653,0.05692,75.73718,26.78648,191.66491,12.75606,0.21211,0.16230,0.00000,0.11856,1.89630,1.56666,0.29236,0.29996
s04,0.83000,1,18.26683,6.82414,-0.18455,1.32100,1.76750,15.24000,4.08997,0.13728,0.06360,0.19662,0.05698,75.79303,26.82032,191.71104,12.76850,0.21475,0.16431,0.00000,0.12004,1.89630,1.56666,0.29236,0.29996
s04,0.84000,1,18.26508,6.83811,-0.16625,1.47260,1.85750,14.96250,4.09122,0.13736,0.06367,0.19663,0.05703,75.82739,26.84730,191.69205,12.77742,0.21739,0.16632,0.00000,0.12151,1.89630,1.56666,0.29236,0.29996
s04,0.85000,1,18.26351,6.85359,-0.14740,1.62025,1.88500,14.45250,4.09109,0.13740,0.06372,0.19658,0.05706,75.83954,26.86709,191.60612,12.78283,0.22002,0.16834,0.00000,0.12298,1.89630,1.56666,0.29236,0.29996
s04,0.86000,1,18.26213,6.87052,-0.12855,1.76165,1.85000,13.70750,4.08959,0.13740,0.06376,0.19646,0.05707,75.82944,26.87947,191.45342,12.78468,0.22265,0.17035,0.00000,0.12445,1.89630,1.56666,0.29236,0.29996
s04,0.87000,1,18.26094,6.88882,-0.11040,1.89440,1.74250,12.72750,4.08674,0.13736,0.06377,0.19626,0.05707,75.79766,26.88443,191.23581,12.78299,0.22528,0.17235,0.00000,0.12592,1.89630,1.56666,0.29236,0.29996
s04,0.88000,1,18.25992,6.90840,-0.09370,2.01620,1.57000,11.52500,4.08261,0.13728,0.06377,0.19600,0.05705,75.74537,26.88217,190.95690,12.77793,0.22790,0.17436,0.00000,0.12738,1.89630,1.56666,0.29236,0.29996
s04,0.89000,1,18.25906,6.92914,-0.07900,2.12490,1.35000,10.11500,4.07732,0.13716,0.06375,0.19568,0.05702,75.67437,26.87298,190.62216,12.76955,0.23052,0.17636,0.00000,0.12884,1.89630,1.56666,0.29236,0.29996
s04,0.90000,1,18.25834,6.95090,-0.06670,2.21850,1.09250,8.50750,4.07100,0.13701,0.06372,0.19531,0.05697,75.58680,26.85765,190.23782,12.75851,0.23313,0.17835,0.00000,0.13030,1.89630,1.56666,0.29236,0.29996
s04,0.91000,1,18.25773,6.97351,-0.05715,2.29505,0.80250,6.72500,4.06381,0.13683,0.06367,0.19489,0.05691,75.48544,26.83682,189.81214,12.74505,0.23574,0.18034,0.00000,0.13175,1.89630,1.56666,0.29236,0.29996
s04,0.92000,1,18.25720,6.99680,-0.05065,2.35300,0.49000,4.80250,4.05596,0.13663,0.06361,0.19443,0.05684,75.37338,26.81142,189.35424,12.72963,0.23833,0.18233,0.00000,0.13320,1.89630,1.56666,0.29236,0.29996
s04,0.93000,1,18.25672,7.02057,-0.04735,2.39110,0.18000,2.75250,4.04765,0.13641,0.06355,0.19394,0.05677,75.25400,26.78246,188.87410,12.71279,0.24092,0.18430,0.00000,0.13465,1.89630,1.56666,0.29236,0.29996
s04,0.94000,1,18.25625,7.04462,-0.04705,2.40805,-0.11000,0.60250,4.03909,0.13619,0.06347,0.19344,0.05669,75.13090,26.75107,188.38227,12.69509,0.24350,0.18627,0.00000,0.13609,1.89630,1.56666,0.29236,0.29996
s04,0.95000,1,18.25578,7.06874,-0.04955,2.40315,-0.37500,-1.60250,4.03053,0.13595,0.06339,0.19293,0.05660,75.00774,26.71843,187.88961,12.67711,0.24607,0.18824,0.00000,0.13752,1.89630,1.56666,0.29236,0.29996
s04,0.96000,1,18.25526,7.09269,-0.05455,2.37600,-0.59250,-3.84500,4.02218,0.13573,0.06331,0.19242,0.05652,74.88819,26.68572,187.40702,12.65943,0.24864,0.19020,0.00000,0.13895,1.89630,1.56666,0.29236,0.29996
s04,0.97000,1,18.25468,7.11625,-0.06140,2.32625,-0.74750,-6.10000,4.01427,0.13551,0.06323,0.19193,0.05644,74.77620,26.65359,186.94662,12.64158,0.25119,0.19215,0.00000,0.14038,1.89630,1.56666,0.29236,0.29996
s04,0.98000,1,18.25403,7.13921,-0.06950,2.25400,-0.83000,-8.32750,4.00701,0.13531,0.06316,0.19147,0.05636,74.67428,26.62425,186.51560,12.62622,0.25374,0.19410,0.00000,0.14180,1.89630,1.56666,0.29236,0.29996
s04,0.99000,1,18.25330,7.16134,-0.07800,2.15970,-0.82000,-10.50000,4.00059,0.13513,0.06309,0.19104,0.05629,74.58591,26.59823,186.12486,12.61281,0.25628,0.19604,0.00000,0.14322,1.89630,1.56666,0.29236,0.29996
s04,1.00000,1,18.25247,7.18241,-0.08590,2.04400,-0.71500,-12.59000,3.99519,0.13498,0.06303,0.19066,0.05624,74.51376,26.57648,185.78289,12.60180,0.25882,0.19798,0.00000,0.14464,1.89630,1.56666,0.29236,0.29996
s04,1.01000,1,18.25158,7.20221,-0.09230,1.90790,-0.51000,-14.57500,3.99095,0.13486,0.06299,0.19033,0.05619,74.46011,26.55983,185.49712,12.59358,0.26135,0.19991,0.00000,0.14605,1.89630,1.56666,0.29236,0.29996
s04,1.02000,1,18.25063,7.22056,-0.09610,1.75250,-0.19500,-16.43000,3.98800,0.13478,0.06295,0.19006,0.05616,74.42676,26.54895,185.27375,12.58848,0.26388,0.20184,0.00000,0.14746,1.89630,1.56666,0.29236,0.29996
