time,r_shoulder_elev,r_elbow_flex,rep,phase,fatigue_level,target_elbow_deg,flexion_duration_s,extension_duration_s,perturbation_deg,elbow_velocity_deg_s,elbow_acceleration_deg_s2,elbow_jerk_deg_s3
121.74,20.0,40.97790546000825,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.48063661767487975,-74.80580293277583,-1659.9117459348633,-36141.949828422774
121.75,20.0,40.03142256437945,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.11224656107594128,-93.03778298841436,-315.94272505424567,131235.71702927526
121.76,20.0,39.117149800239964,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.23053572101246333,-81.12465743386075,964.8025946506422,55993.01804737599
121.77,20.0,38.40892941570223,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.3740225575375846,-73.74173109540152,803.9176358932742,-305.4410486376071
121.78,20.0,37.642315178331934,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.5828113136535011,-65.04630471599526,958.69377367789,24005.508957120725
121.79,20.0,37.10800332138233,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.5663533460769103,-54.56785562184372,1284.0278150356887,10953.008071561851
121.8,20.0,36.55095806589506,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.5798283825765395,-39.36574841528149,1177.753935109127,-63098.28804800244
121.81,20.0,36.3206883530767,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.2738676911872674,-31.012776919661178,22.062054075639992,-58280.66102706497
121.82,20.0,35.930702527501836,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.13509929859695805,-38.92450733376869,12.140714567827615,10057.621912935132
121.83,20.0,35.54219820640132,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.0024580224485501456,-30.769962628304626,223.21449233434265,-16177.444432099895
121.84,20.0,35.315303274935744,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.28405562234297527,-34.460217487081835,-311.4081740741703,-58018.09080052323
121.85,20.0,34.85299385665969,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.32729349246473927,-36.99812610978803,-937.1473236761218,-75019.19536643519
121.86,20.0,34.57534075273998,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.5472063538336538,-53.20316396060427,-1811.7920814028741,38443.07416634418
121.87,20.0,33.7889305774476,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.25026511549855057,-73.23396773784552,-168.2858403492382,185087.1626989523
121.88,20.0,33.11066139798307,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.05325656787470784,-56.568880767589036,1889.951172576172,38117.63382918443
121.89,20.0,32.65755296209582,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.0730937087733301,-35.43494428632208,594.0668362344503,-135766.37427594073
121.9,20.0,32.40196251225663,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.28203165598352886,-44.68754404290003,-825.3763129426428,-55434.461898223206
121.91,20.0,31.76380208123782,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.09988504126230269,-51.942470545174935,-514.6224017300138,48317.24830340312
121.92,20.0,31.363113101353132,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.1466027179840212,-54.979992077500306,140.9686531254195,37374.6858016819
121.93,20.0,30.664202239687814,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.11359630521959826,-49.123097482666545,232.87131430362427,-33578.59210394798
121.94,20.0,30.3806511516998,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,0.03278698755132717,-50.32256579142782,-530.6031889535401,-20722.82361490929
121.95,20.0,29.657750923859258,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.2690338394859962,-59.735161261737346,-181.58515799456154,55025.65671100478
121.96,20.0,29.185947926465055,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.32868472257084846,-53.95426895131905,569.9099452665557,90530.51208827911
121.97,20.0,28.578665544832877,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.5328092688007717,-48.33696235640623,1629.0250837710207,51962.61807383173
121.98,20.0,28.21920867933693,25,extension,0.8275862068965517,104.21311118024683,2.8000000000000003,2.2800000000000002,-0.4981641576808046,-21.373767275898636,1609.1623067431904,-83759.87984801103
