time,r_humerus_u,r_humerus_v,r_humerus_depth,r_ulna_radius_hand_u,r_ulna_radius_hand_v,r_ulna_radius_hand_depth,load_2kg_u,load_2kg_v,load_2kg_depth,center_of_mass_u,center_of_mass_v,center_of_mass_depth
29.05,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.06,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.07,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.08,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.09,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.1,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.11,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.12,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.13,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.14,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.15,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.16,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.17,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.18,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.19,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.2,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.21,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.22,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.23,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.24,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.25,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.26,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
29.27,516.1529411764706,4683.557647058824,0.17,552.9105897273304,2803.5332910589723,0.1577,722.8785982478098,1349.2365456821026,0.2397,620.1635349905074,2706.007341026959,0.19232459
